#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-05-23T14:51:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ628b9f383dd816	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:J/MNRAS/504/3831&tab:{J/MNRAS/504/3831/tabled1}&tab:{J/MNRAS/504/3831/tabled2}&key:source=J/MNRAS/504/3831&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/504/3831/tabled1,J/MNRAS/504/3831/tabled2
#-order=I
#-out=GALFIT
#-out=SFRS
#-out=Name
#-out=SDSS
#-out=umag
#-out=e_umag
#-out=rmag
#-out=e_rmag
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=SimbadName
#-out=_RA
#-out=_DE
#-out=Model
#-out=Comp
#-out=Phys
#-out=n
#-out=R
#-out=Kcorr
#-out=LK
#-out=u-r
#-out=M/L
#-out=M/Lgal
#-out=M
#-out=Mgal
#-out=Method
#-out=B/T
#-out=e_B/T
#-out=Dist
#-out=Nuc
#-out=Weight
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#
#Table	J_MNRAS_504_3831_tabled2:
#Name: J/MNRAS/504/3831/tabled2
#Title: GALFIT model results for the SFRS sample
#Column	Name	(a22)	Common galaxy name	[ucd=meta.id;meta.main]
#Column	Kmag	(F5.2)	Component K-band magnitude (Vega)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	Component K-band magnitude (Vega) error	[ucd=stat.error;phot.mag]
#Column	Model	(a23)	Selected model (see definition in Sect. 4.2)	[ucd=stat.param;meta.modelled]
#Column	Comp	(a9)	Selected model component (see definition in Sect. 4.2) (1)	[ucd=stat.param]
#Column	Phys	(A5)	Physical interpretation of component (2)	[ucd=src.class]
#Column	n	(F4.1)	? Sersic index	[ucd=stat.fit.param]
#Column	R	(F5.1)	? Effective radius (for Sersic), or scale height (for exDisk)	[ucd=phys.angSize]
#Column	Kcorr	(F6.3)	K correction factor	[ucd=arith.factor;phot.mag]
#Column	LK	(D9.2)	Component K-band luminosity	[ucd=phys.luminosity;em.IR]
#Column	u-r	(F5.2)	? Component color form our decomposition (the global galaxy color is reported in Table D1)	[ucd=phot.color;em.opt.U;em.opt.R]
#Column	M/L	(F6.3)	? Component mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M/Lgal	(F6.3)	Galaxy mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M	(E9.2)	? Component mass (3)	[ucd=phys.mass]
#Column	Mgal	(E9.2)	Component mass	[ucd=phys.mass]
#Column	Method	(A6)	Decomposition method (4)	[ucd=meta.note]
#Column	B/T	(F6.3)	? Bulge-to-total ratio	[ucd=phys.luminosity;arith.ratio]
#Column	e_B/T	(F6.3)	? Bulge-to-total ratio error	[ucd=stat.error]
#Column	Dist	(E9.2)	Distance from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011)	[ucd=pos.distance]
#Column	Nuc	(a6)	Nuclear classification by Maragkoudakis et al. (2018)	[ucd=meta.code.class]
#Column	Weight	(F4.1)	Galaxy representativeness weight from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011) (5)	[ucd=stat.weight;phys.atmol.weight]
Name|Kmag|e_Kmag|Model|Comp|Phys|n|R|Kcorr|LK|u-r|M/L|M/Lgal|M|Mgal|Method|B/T|e_B/T|Dist|Nuc|Weight
IC856                 |11.10| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.7| 10.3| 0.957| 1.59e+43| 1.80| 0.778| 0.753| 2.49e+10| 2.46e+10|GALFIT| 0.019| 0.010| 6.43e+07|HII   | 4.7
IC856                 |15.38| 0.13|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.957| 3.09e+41|-0.40| 0.490| 0.753| 3.05e+08| 2.46e+10|GALFIT| 0.019| 0.010| 6.43e+07|HII   | 4.7
UGC8269               |10.75| 0.06|Sersic+psfAgn          |Sersic   |mixed| 7.6| 20.7| 0.936| 8.00e+43|     |      | 0.888|         | 1.44e+11|C->B/T| 0.166| 0.044| 1.24e+08|TO    | 8.4
UGC8269               |15.22| 0.17|Sersic+psfAgn          |psfAgn   |AGN  |    |     | 0.936| 1.30e+42|     |      | 0.888|         | 1.44e+11|C->B/T| 0.166| 0.044| 1.24e+08|TO    | 8.4
NGC5014               |10.10| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.0| 12.9| 0.993| 3.44e+42| 1.61| 0.747| 0.911| 5.17e+09| 6.36e+09|GALFIT| 0.011| 0.007| 1.85e+07|HII   | 4.2
NGC5014               |15.01| 0.11|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.993| 3.73e+40|-2.05| 0.347| 0.911| 2.60e+07| 6.36e+09|GALFIT| 0.011| 0.007| 1.85e+07|HII   | 4.2
NGC5012               |11.13| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.9| 0.980| 6.19e+42| 3.60| 1.134| 0.879| 1.41e+10| 9.28e+10|GALFIT| 0.118| 0.020| 4.02e+07|LINER |22.2
NGC5012               | 8.95| 0.04|Sersic+exDisk          |exDisk   |disk |    | 17.1| 0.980| 4.61e+43| 1.98| 0.808| 0.879| 7.49e+10| 9.28e+10|GALFIT| 0.118| 0.020| 4.02e+07|LINER |22.2
IRAS13116+4508        |12.77| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.6|  2.5| 0.797| 4.60e+43| 2.33| 0.869| 0.876| 8.04e+10| 9.39e+10|GALFIT| 0.139| 0.037| 2.58e+08|HII   | 4.5
IRAS13116+4508        |14.75| 0.16|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.797| 7.42e+42| 3.39| 1.085| 0.876| 1.62e+10| 9.39e+10|GALFIT| 0.139| 0.037| 2.58e+08|HII   | 4.5
IC860                 |10.61| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.0|  8.8| 0.974| 1.83e+43| 2.23| 0.851| 0.863| 3.13e+10| 3.42e+10|GALFIT| 0.069| 0.016| 5.45e+07|LINER |14.2
IC860                 |13.44| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.974| 1.35e+42| 2.23| 0.851| 0.863| 2.31e+09| 3.42e+10|GALFIT| 0.069| 0.016| 5.45e+07|LINER |14.2
NGC5060               |10.25| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.0| 16.5| 0.936| 7.81e+43| 2.13| 0.833| 0.894| 1.31e+11| 1.54e+11|GALFIT| 0.084| 0.014| 9.74e+07|HII   | 8.7
NGC5060               |12.84| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.936| 7.19e+42| 2.05| 0.820| 0.894| 1.19e+10| 1.54e+11|GALFIT| 0.084| 0.014| 9.74e+07|HII   | 8.7
UGC8357_NED01         |11.23| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.1|  7.9| 0.935| 7.20e+43| 2.01| 0.813| 0.789| 1.18e+11| 1.14e+11|GALFIT|      |      | 1.47e+08|TO    | 7.4
UGC8357_NED01         |13.15| 0.04|Sersic+psfAgn          |psfAgn   |AGN  |    |     | 0.935| 1.23e+43|     |      | 0.789|         | 1.14e+11|GALFIT|      |      | 1.47e+08|TO    | 7.4
UGC8361               |10.79| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.6|  5.9| 0.924| 5.59e+43| 2.48| 0.897| 0.876| 1.01e+11| 1.06e+11|GALFIT| 0.067| 0.041| 1.06e+08|HII   | 9.8
UGC8361               |13.65| 0.10|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.924| 4.01e+42| 2.48| 0.897| 0.876| 7.24e+09| 1.06e+11|GALFIT| 0.067| 0.041| 1.06e+08|HII   | 9.8
IC883                 |10.68| 0.04|Sersic                 |Sersic   |mixed| 5.2|  6.2| 0.942| 6.12e+43|     |      | 0.802|         | 9.87e+10|C->B/T| 0.136| 0.036| 1.05e+08|SN    |15.5
NGC5100_NED02         |10.50| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.7|  5.8| 0.913| 1.29e+44| 2.32| 0.867| 0.858| 2.25e+11| 2.31e+11|GALFIT| 0.035| 0.022| 1.42e+08|SN    | 2.7
NGC5100_NED02         |14.11| 0.14|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.913| 4.64e+42| 4.53| 1.378| 0.858| 1.29e+10| 2.31e+11|GALFIT| 0.035| 0.022| 1.42e+08|SN    | 2.7
NGC5104               | 9.83| 0.03|Sersic                 |Sersic   |mixed| 3.6|  7.8| 0.943| 9.42e+43|     |      | 0.930|         | 1.76e+11|C->B/T| 0.190| 0.050| 8.78e+07|SN    | 7.4
NGC5107               |11.18| 0.04|Sersic                 |Sersic   |disk | 1.1| 26.0| 0.997| 1.28e+42| 2.01| 0.813| 0.691| 2.09e+09| 1.77e+09|GALFIT|      |      | 1.85e+07|HII   | 2.8
NGC5112               | 9.71| 0.04|Sersic                 |Sersic   |disk | 1.5| 41.5| 0.994| 4.92e+42| 2.01| 0.813| 0.771| 8.05e+09| 7.63e+09|GALFIT|      |      | 1.85e+07|TO    | 4.6
NGC5123               |10.43| 0.09|Sersic+exDisk          |Sersic   |bulge| 4.0| 12.8| 0.938| 1.07e+44| 2.62| 0.923| 0.856| 1.99e+11| 3.37e+11|GALFIT| 0.545| 0.013| 1.23e+08|HII   | 4.8
NGC5123               |10.62| 0.07|Sersic+exDisk          |exDisk   |disk |    | 11.5| 0.938| 8.94e+43| 1.56| 0.740| 0.856| 1.33e+11| 3.37e+11|GALFIT| 0.545| 0.013| 1.23e+08|HII   | 4.8
IRAS13232+1731        |12.05| 0.08|Sersic+exDisk          |Sersic   |bulge| 4.0|  5.2| 0.858| 1.58e+44| 2.01| 0.813| 0.743| 2.58e+11| 3.33e+11|GALFIT| 0.713| 0.189| 3.32e+08|HII   | 1.0
IRAS13232+1731        |13.04| 0.11|Sersic+exDisk          |exDisk   |disk |    |  3.7| 0.858| 6.37e+43| 1.21| 0.687| 0.743| 8.81e+10| 3.33e+11|GALFIT| 0.713| 0.189| 3.32e+08|HII   | 1.0
NGC5147               | 9.58| 0.03|Sersic+psfAgn          |Sersic   |disk | 0.4| 42.9| 0.994| 5.25e+42| 2.01| 0.813| 0.827| 8.59e+09| 9.76e+09|GALFIT| 0.104| 0.025| 1.80e+07|HII   | 4.6
NGC5147               |11.92| 0.03|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.994| 6.09e+41| 2.65| 0.929| 0.827| 1.14e+09| 9.76e+09|GALFIT| 0.104| 0.025| 1.80e+07|HII   | 4.6
NGC5204               | 9.76| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.9| 33.7| 0.999| 1.41e+41| 1.50| 0.730| 0.706| 2.07e+08| 2.01e+08|GALFIT| 0.001| 0.007| 3.20e+06|HII   | 1.7
NGC5204               |16.87| 0.27|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.999| 2.03e+38| 1.50| 0.730| 0.706| 2.98e+05| 2.01e+08|GALFIT| 0.001| 0.007| 3.20e+06|HII   | 1.7
UGC8561               |10.50| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.9| 11.4| 0.970| 7.83e+43| 2.00| 0.811| 0.828| 1.28e+11| 1.37e+11|GALFIT| 0.041| 0.012| 1.08e+08|HII   | 8.7
UGC8561               |13.91| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.970| 3.39e+42| 1.88| 0.791| 0.828| 5.40e+09| 1.37e+11|GALFIT| 0.041| 0.012| 1.08e+08|HII   | 8.7
NGC5230               |12.53| 0.06|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.0| 0.982| 1.18e+43| 2.12| 0.832| 0.834| 1.98e+10| 1.37e+11|GALFIT| 0.145| 0.049| 1.06e+08|HII   | 4.8
NGC5230               |10.60| 0.04|Sersic+exDisk          |exDisk   |disk |    |  9.5| 0.982| 6.98e+43| 2.05| 0.820| 0.834| 1.15e+11| 1.37e+11|GALFIT| 0.145| 0.049| 1.06e+08|HII   | 4.8
IRAS13349+2438        |10.47| 0.10|Sersic_n1              |Sersic_n1|disk | 1.0|  0.5| 0.352| 5.20e+44| 2.01| 0.813| 0.716| 8.51e+11| 7.49e+11|GALFIT|      |      | 4.54e+08|SN    | 1.0
UGC8626               |10.68| 0.07|Sersic                 |Sersic   |mixed| 9.1| 14.2| 0.935| 6.55e+43|     |      | 0.881|         | 1.16e+11|C->B/T| 0.186| 0.049| 1.09e+08|HII   | 4.8
NGC5263               |10.21| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.7| 17.2| 0.956| 5.24e+43| 2.15| 0.837| 0.841| 8.82e+10| 9.55e+10|GALFIT| 0.069| 0.007| 7.75e+07|HII   |13.2
NGC5263               |13.03| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.956| 3.90e+42| 2.65| 0.929| 0.841| 7.29e+09| 9.55e+10|GALFIT| 0.069| 0.007| 7.75e+07|HII   |13.2
MCG1-35-028           |11.05| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.3|  8.2| 0.936| 4.36e+43| 2.30| 0.864| 0.864| 7.58e+10| 9.71e+10|GALFIT| 0.221| 0.024| 1.05e+08|HII   | 9.8
MCG1-35-028           |12.41| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.936| 1.24e+43| 2.02| 0.814| 0.864| 2.03e+10| 9.71e+10|GALFIT| 0.221| 0.024| 1.05e+08|HII   | 9.8
IC910                 |10.91| 0.05|Sersic                 |Sersic   |mixed| 6.0|  6.3| 0.944| 6.55e+43|     |      | 0.820|         | 1.08e+11|C->B/T| 0.149| 0.039| 1.20e+08|SN    |14.2
MK268                 |10.50| 0.05|Sersic                 |Sersic   |mixed| 7.9|  9.2| 0.950| 2.00e+44|     |      | 0.868|         | 3.50e+11|C->B/T| 0.215| 0.057| 1.74e+08|SN    | 1.7
NGC5278               |10.35| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.7| 10.5| 0.951| 9.99e+43| 1.95| 0.803| 0.898| 1.61e+11| 2.00e+11|GALFIT| 0.097| 0.015| 1.14e+08|LINER | 4.8
NGC5278               |12.78| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.951| 1.07e+43| 3.36| 1.078| 0.898| 2.32e+10| 2.00e+11|GALFIT| 0.097| 0.015| 1.14e+08|LINER | 4.8
NGC5273               |10.52| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  3.0| 0.995| 1.86e+42| 1.96| 0.804| 0.887| 3.01e+09| 1.77e+10|GALFIT| 0.188| 0.014| 1.65e+07|SN    | 2.0
NGC5273               | 8.93| 0.04|Sersic+exDisk          |exDisk   |disk |    | 19.7| 0.995| 8.04e+42| 2.47| 0.895| 0.887| 1.45e+10| 1.77e+10|GALFIT| 0.188| 0.014| 1.65e+07|SN    | 2.0
UGC8685               |10.68| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.4| 15.4| 0.926| 1.28e+44| 2.15| 0.837| 0.866| 2.16e+11| 2.46e+11|GALFIT| 0.096| 0.015| 1.53e+08|HII   | 4.7
UGC8685               |13.11| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.926| 1.36e+43| 2.25| 0.855| 0.866| 2.34e+10| 2.46e+11|GALFIT| 0.096| 0.015| 1.53e+08|HII   | 4.7
UGC8686               |10.93| 0.03|Sersic+psfAgn          |Sersic   |disk | 0.7| 13.3| 0.946| 4.94e+43| 2.19| 0.844| 0.826| 8.39e+10| 8.92e+10|GALFIT| 0.083| 0.012| 1.05e+08|HII   | 8.7
UGC8686               |13.54| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.946| 4.47e+42| 2.37| 0.876| 0.826| 7.88e+09| 8.92e+10|GALFIT| 0.083| 0.012| 1.05e+08|HII   | 8.7
UGC8696               |10.79| 0.06|Sersic+psfAgn          |Sersic   |disk | 4.7|  5.2| 0.872| 1.24e+44| 0.81| 0.632| 0.860| 1.58e+11| 2.35e+11|GALFIT| 0.089| 0.049| 1.63e+08|SN    |15.5
UGC8696               |13.32| 0.16|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.872| 1.21e+43| 0.46| 0.587| 0.860| 1.43e+10| 2.35e+11|GALFIT| 0.089| 0.049| 1.63e+08|SN    |15.5
NGC5297               |11.92| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  2.0| 0.986| 1.78e+42| 3.69| 1.156| 1.024| 4.14e+09| 6.08e+10|GALFIT| 0.060| 0.022| 3.09e+07|LINER |22.2
NGC5297               | 8.94| 0.04|Sersic+exDisk          |exDisk   |disk |    | 23.0| 0.986| 2.77e+43| 2.15| 0.837| 1.024| 4.66e+10| 6.08e+10|GALFIT| 0.060| 0.022| 3.09e+07|LINER |22.2
MK796                 |11.05| 0.04|Sersic                 |Sersic   |mixed| 4.0|  2.4| 0.924| 3.78e+43|     |      | 0.740|         | 5.62e+10|C->B/T| 0.144| 0.038| 9.85e+07|SN    | 7.0
IRAS13446+1121        |11.56| 0.05|Sersic+psfAgn          |Sersic   |disk | 7.2|  0.5| 0.902| 2.60e+43| 2.71| 0.941| 0.880| 4.92e+10| 5.13e+10|GALFIT| 0.106| 0.028| 1.04e+08|SN    | 8.1
IRAS13446+1121        |13.87| 0.32|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.902| 3.09e+42| 1.84| 0.784| 0.880| 4.87e+09| 5.13e+10|GALFIT| 0.106| 0.028| 1.04e+08|SN    | 8.1
NGC5303               |10.40| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.5| 10.3| 0.992| 4.02e+42| 1.27| 0.696| 0.754| 5.63e+09| 6.45e+09|GALFIT| 0.053| 0.012| 2.30e+07|HII   | 9.5
NGC5303               |13.54| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.992| 2.23e+41| 3.61| 1.136| 0.754| 5.10e+08| 6.45e+09|GALFIT| 0.053| 0.012| 2.30e+07|HII   | 9.5
NGC5313               |10.99| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.1| 0.984| 4.18e+42| 2.67| 0.933| 0.947| 7.85e+09| 6.16e+10|GALFIT| 0.129| 0.021| 3.09e+07|LINER |22.2
NGC5313               | 8.92| 0.04|Sersic+exDisk          |exDisk   |disk |    | 14.3| 0.984| 2.82e+43| 2.11| 0.830| 0.947| 4.71e+10| 6.16e+10|GALFIT| 0.129| 0.021| 3.09e+07|LINER |22.2
MCG3-35-034_NED01     |10.50| 0.04|Sersic                 |Sersic   |mixed| 5.2|  9.2| 0.900| 2.01e+44|     |      | 0.867|         | 3.50e+11|C->B/T| 0.178| 0.047| 1.79e+08|TO    | 4.5
NGC5347               |11.50| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.7| 0.981| 4.15e+42| 2.28| 0.860| 0.886| 7.18e+09| 3.20e+10|GALFIT| 0.230| 0.024| 3.90e+07|SN    | 4.3
NGC5347               |10.19| 0.04|Sersic+exDisk          |exDisk   |disk |    | 11.8| 0.981| 1.39e+43| 2.32| 0.867| 0.886| 2.42e+10| 3.20e+10|GALFIT| 0.230| 0.024| 3.90e+07|SN    | 4.3
NGC5350               | 8.19| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.2| 44.2| 0.999| 5.60e+43| 2.27| 0.858| 0.816| 9.67e+10| 9.28e+10|GALFIT| 0.013| 0.003| 3.09e+07|HII   |22.2
NGC5350               |12.90| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.999| 7.31e+41| 0.91| 0.645| 0.816| 9.49e+08| 9.28e+10|GALFIT| 0.013| 0.003| 3.09e+07|HII   |22.2
NGC5368               |10.39| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.2|  6.5| 0.968| 4.17e+43| 2.24| 0.853| 0.900| 7.16e+10| 8.43e+10|GALFIT| 0.108| 0.022| 7.46e+07|HII   | 4.3
NGC5368               |12.68| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.968| 5.06e+42| 3.51| 1.113| 0.900| 1.13e+10| 8.43e+10|GALFIT| 0.108| 0.022| 7.46e+07|HII   | 4.3
UGC8827               |11.12| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.9| 0.958| 2.76e+43| 1.94| 0.801| 0.822| 4.45e+10| 8.53e+10|GALFIT| 0.535| 0.080| 8.54e+07|HII   | 9.8
UGC8827               |11.27| 0.04|Sersic+exDisk          |exDisk   |disk |    |  5.1| 0.958| 2.40e+43| 2.00| 0.811| 0.822| 3.92e+10| 8.53e+10|GALFIT| 0.535| 0.080| 8.54e+07|HII   | 9.8
UGC8856_NED01         |11.53| 0.04|Sersic                 |Sersic   |mixed| 3.6|  5.5| 0.900| 4.63e+43|     |      | 0.841|         | 7.84e+10|C->B/T| 0.177| 0.047| 1.38e+08|HII   | 4.0
NGC5374               | 9.29| 0.04|Sersic                 |Sersic   |mixed| 5.7| 31.2| 0.981| 9.92e+43|     |      | 0.797|         | 1.59e+11|C->B/T| 0.105| 0.028| 6.89e+07|HII   |14.5
UGC8902               |10.74| 0.04|Sersic+psfAgn+exDisk   |Sersic   |bulge| 4.0|  3.3| 0.951| 6.98e+43| 3.26| 1.056| 0.958| 1.48e+11| 2.90e+11|GALFIT| 0.461| 0.079| 1.14e+08|TO    | 3.8
UGC8902               |13.99| 0.06|Sersic+psfAgn+exDisk   |psfAgn   |AGN  |    |     | 0.951| 3.50e+42|     |      | 0.958|         | 2.90e+11|GALFIT| 0.461| 0.079| 1.14e+08|TO    | 3.8
UGC8902               |10.57| 0.04|Sersic+psfAgn+exDisk   |exDisk   |disk |    | 13.3| 0.951| 8.16e+43| 1.97| 0.806| 0.958| 1.32e+11| 2.90e+11|GALFIT| 0.461| 0.079| 1.14e+08|TO    | 3.8
MCG7-29-036           |12.12| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.5|  8.1| 0.913| 3.00e+43| 2.75| 0.949| 0.954| 5.73e+10| 7.39e+10|GALFIT| 0.222| 0.038| 1.45e+08|HII   | 8.4
MCG7-29-036           |13.48| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.913| 8.58e+42| 4.05| 1.246| 0.954| 2.15e+10| 7.39e+10|GALFIT| 0.222| 0.038| 1.45e+08|HII   | 8.4
NGC5414               |10.98| 0.04|Sersic                 |Sersic   |mixed| 1.7|  7.7| 0.986| 2.07e+43|     |      | 0.708|         | 2.94e+10|C->B/T| 0.164| 0.043| 6.83e+07|HII   | 6.9
MCG5-33-046           |11.06| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.0|  5.9| 0.955| 5.40e+43| 2.60| 0.920| 1.008| 1.00e+11| 1.22e+11|GALFIT| 0.101| 0.032| 1.16e+08|HII   | 9.8
MCG5-33-046           |13.43| 0.08|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.955| 6.08e+42| 2.60| 0.920| 1.008| 1.13e+10| 1.22e+11|GALFIT| 0.101| 0.032| 1.16e+08|HII   | 9.8
NGC5474               | 9.35| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.7| 37.4| 0.999| 6.31e+41| 1.71| 0.763| 0.816| 9.69e+08| 1.04e+09|GALFIT| 0.001| 0.002| 5.60e+06|HII   | 1.7
NGC5474               |16.62| 0.31|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.999| 7.80e+38| 1.71| 0.763| 0.816| 1.20e+06| 1.04e+09|GALFIT| 0.001| 0.002| 5.60e+06|HII   | 1.7
NGC5480               | 8.70| 0.04|Sersic                 |Sersic   |mixed| 3.0| 41.7| 0.988| 3.37e+43|     |      | 0.760|         | 5.15e+10|C->B/T| 0.097| 0.026| 3.05e+07|HII   | 5.5
MCG6-31-070           |11.56| 0.05|Sersic+psfAgn          |Sersic   |disk | 1.8|  4.3| 0.881| 5.63e+43| 2.52| 0.904| 0.958| 1.02e+11| 1.41e+11|GALFIT| 0.231| 0.052| 1.56e+08|HII   | 8.4
MCG6-31-070           |12.87| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.881| 1.69e+43| 2.52| 0.904| 0.958| 3.07e+10| 1.41e+11|GALFIT| 0.231| 0.052| 1.56e+08|HII   | 8.4
CGCG74-129            |11.15| 0.10|Sersic+psfAgn          |Sersic   |disk | 6.9| 13.1| 0.956| 2.15e+43| 2.84| 0.967| 0.938| 4.18e+10| 4.79e+10|GALFIT| 0.154| 0.043| 7.65e+07|SN    | 8.1
CGCG74-129            |13.00| 0.08|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.956| 3.91e+42| 2.84| 0.967| 0.938| 7.61e+09| 4.79e+10|GALFIT| 0.154| 0.043| 7.65e+07|SN    | 8.1
NGC5520               | 9.88| 0.04|Sersic                 |Sersic   |mixed| 3.9| 10.3| 0.987| 1.14e+43|     |      | 0.792|         | 1.81e+10|C->B/T| 0.200| 0.053| 3.05e+07|HII   |14.5
NGC5515               |10.10| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.8|  8.2| 0.929| 1.22e+44| 2.21| 0.847| 0.913| 2.08e+11| 2.48e+11|GALFIT| 0.098| 0.013| 1.14e+08|SN    | 3.8
NGC5515               |12.51| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.929| 1.33e+43| 3.00| 1.000| 0.913| 2.68e+10| 2.48e+11|GALFIT| 0.098| 0.013| 1.14e+08|SN    | 3.8
NGC5526_NED02         |10.42| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.0| 19.4| 0.982| 5.75e+42| 2.24| 0.853| 0.807| 9.87e+09| 9.51e+09|GALFIT| 0.022| 0.009| 2.79e+07|HII   | 2.3
NGC5526_NED02         |14.53| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.982| 1.31e+41| 2.35| 0.873| 0.807| 2.30e+08| 9.51e+09|GALFIT| 0.022| 0.009| 2.79e+07|HII   | 2.3
NGC5522               |10.10| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.5| 13.3| 0.957| 5.02e+43| 2.54| 0.908| 0.876| 9.17e+10| 1.01e+11|GALFIT| 0.122| 0.012| 7.21e+07|HII   | 4.3
NGC5522               |12.24| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.957| 7.00e+42| 4.19| 1.283| 0.876| 1.81e+10| 1.01e+11|GALFIT| 0.122| 0.012| 7.21e+07|HII   | 4.3
NGC5541               |10.21| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.4| 11.5| 0.931| 1.13e+44| 1.69| 0.760| 0.816| 1.73e+11| 1.98e+11|GALFIT| 0.058| 0.012| 1.15e+08|LINER | 8.7
NGC5541               |13.23| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.931| 7.01e+42| 3.35| 1.076| 0.816| 1.52e+10| 1.98e+11|GALFIT| 0.058| 0.012| 1.15e+08|LINER | 8.7
IC4395                |10.92| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.0|  4.5| 0.913| 1.11e+44| 1.82| 0.781| 0.842| 1.74e+11| 2.38e+11|GALFIT| 0.204| 0.015| 1.60e+08|HII   | 8.4
